id;user_id;date_time;table_name;audit_action;record_id;field_desc;at_status;st_full_desc
1;62740;2024-01-08T11:31:15;Handmade deposit Nebraska;channels;62683;Platinum;holistic Home;Gorgeous
2;65657;2024-01-09T01:30:23;intangible Cameroon;Wisconsin Multi-lateral Consultant;83358;Account transmitting navigating;Card Sleek synergies;Future-proofed quantify Concrete
3;7367;2024-01-08T23:22:30;ADP Soft Lesotho;Underpass magenta Sports;95917;Borders Refined Pines;circuit Metal;Fresh global
4;84900;2024-01-08T17:32:55;Namibia SSL;States Handmade;71115;Fantastic;Awesome;Gloves deposit
5;52976;2024-01-08T19:03:07;alarm Handmade Checking;Bedfordshire Organized;40014;programming payment;visualize;Steel as
6;95642;2024-01-09T06:02:25;Frozen Garden RAM;Interactions;26029;Borders Dale;Concrete generating;purple Customizable Kentucky
7;61404;2024-01-08T19:29:08;Djibouti up;Dollar;72133;Directives;Assurance Soap e-services;groupware
8;34230;2024-01-08T22:06:50;Ethiopian Shoes;capacitor;11566;Developer SMS;integrate;Gorgeous
9;77415;2024-01-08T09:28:24;Computer;Garden feed Junction;51744;Squares;Computers synthesize;Reverse-engineered
10;48899;2024-01-09T00:42:16;mobile Avon;Intelligent Pizza Beauty;68096;Enterprise-wide;bus;withdrawal virtual Metal
