id;brand_name;entered_by;entered_date;modified_by;modified_date
1;RSS Administrator;58943;2024-01-08T13:05:57;89812;2024-01-09T03:34:03
2;Cambridgeshire COM SAS;91341;2024-01-08T09:40:31;69770;2024-01-08T08:09:25
3;Awesome ADP;94495;2024-01-08T22:13:18;57293;2024-01-09T02:43:35
4;Ergonomic;46802;2024-01-09T03:17:39;53018;2024-01-08T07:03:20
5;programming UIC-Franc;41672;2024-01-08T12:40:16;77643;2024-01-09T05:38:10
6;Gorgeous;69406;2024-01-08T08:50:11;78073;2024-01-08T10:50:59
7;input;91520;2024-01-08T12:12:09;50091;2024-01-09T01:49:41
8;Cambodia;66603;2024-01-08T18:20:03;73789;2024-01-09T05:27:01
9;Berkshire generate;58858;2024-01-09T02:05:47;88730;2024-01-08T23:30:21
10;Assistant Borders Berkshire;93170;2024-01-08T21:33:20;35776;2024-01-09T01:49:07
