id;city_code;city_name;entered_by;entered_date;modified_by;modified_date
1;Producer visualize haptic;Pakistan Consultant;15953;2024-01-08T14:21:46;73378;2024-01-09T04:26:54
2;District invoice;SAS virtual Tunnel;21006;2024-01-09T05:55:12;69925;2024-01-08T22:17:53
3;Concrete Practical;streamline Tuna Automotive;79634;2024-01-08T23:43:36;35496;2024-01-09T03:15:15
4;intranet Borders Dirham;TCP Compatible;15741;2024-01-08T07:26:38;98398;2024-01-08T16:00:21
5;invoice hub Lead;Intelligent;20129;2024-01-09T06:01:41;35051;2024-01-09T05:42:50
6;Shoes 4th programming;value-added;26544;2024-01-08T16:24:10;69488;2024-01-09T00:32:12
7;foreground;Yemeni salmon;53938;2024-01-08T19:21:43;65051;2024-01-08T15:34:43
8;Yen override emulation;scale Car;51550;2024-01-08T08:46:24;34574;2024-01-09T02:18:18
9;Islands solutions navigate;port Sports;62795;2024-01-08T09:08:27;52929;2024-01-08T11:01:25
10;Intelligent salmon Developer;Brand orchid;7088;2024-01-08T22:29:03;70415;2024-01-08T20:34:36
