id;country_code;country_name;country_nationality;entered_by;entered_date;modified_by;modified_date;org_customer_type
1;SR;models Business-focused;Incredible Buckinghamshire;98941;2024-01-08T18:25:29;9274;2024-01-09T02:50:16;invoice actuating
2;ID;Dynamic Account;Auto;32174;2024-01-08T11:41:25;487;2024-01-08T08:00:40;Metal Lev
3;TC;online;Accountability client-driven Camp;40418;2024-01-08T22:12:17;85018;2024-01-08T19:28:19;Integration Chicken
4;AG;Soap Michigan Fish;Triple-buffered;15274;2024-01-08T11:07:05;28855;2024-01-08T22:03:31;hierarchy Sausages Tennessee
5;KR;Personal Chips quantifying;zero hardware Finland;60453;2024-01-08T17:36:34;48486;2024-01-08T08:30:33;Strategist
6;UA;salmon Lake Jersey;invoice Games;54286;2024-01-08T12:36:56;21924;2024-01-09T06:39:29;deliverables
7;CR;context-sensitive;sensor full-range;63497;2024-01-08T21:03:11;34566;2024-01-09T03:17:08;Quality
8;HT;programming;magenta Illinois;87211;2024-01-08T15:08:04;38900;2024-01-08T21:22:28;Loan
9;NE;multi-byte Books Configurable;compressing;45842;2024-01-09T05:03:23;22009;2024-01-09T05:47:37;Movies calculate
10;GF;Small;Kwacha;10844;2024-01-08T09:00:02;40684;2024-01-08T22:17:48;synthesizing
