id;dis_name;entered_by;entered_date;modify_by;modified_date
1;Sports;37537;2024-01-08T18:16:32;77715;2024-01-08T14:06:44
2;virtual Inlet;71842;2024-01-08T14:58:11;95984;2024-01-08T21:21:53
3;neural-net dynamic;76434;2024-01-08T09:46:03;27666;2024-01-08T21:01:21
4;rich Berkshire Corporate;4987;2024-01-08T19:55:39;89033;2024-01-09T02:19:24
5;Sausages;24225;2024-01-08T07:19:38;76039;2024-01-08T19:15:28
6;national;25303;2024-01-08T22:52:02;91986;2024-01-08T08:34:05
7;Small Mexico;85358;2024-01-08T14:27:11;47473;2024-01-08T17:04:39
8;transparent;22430;2024-01-08T18:43:15;69916;2024-01-08T22:02:36
9;Sleek Market Product;51100;2024-01-08T15:46:17;42660;2024-01-08T15:38:11
10;web index;64691;2024-01-08T05:02:37;10653;2024-01-08T04:16:19
