id;industry_name;entered_by;entered_date;modify_by;modified_date
1;platforms Generic Licensed;89378;2024-01-08T08:51:52;56547;2024-01-08T04:23:37
2;Tuna;6668;2024-01-09T03:27:46;1468;2024-01-08T08:00:21
3;plum Oklahoma;88910;2024-01-08T20:18:56;60040;2024-01-08T17:41:21
4;Checking;95368;2024-01-08T13:13:34;58342;2024-01-08T07:14:50
5;Unbranded Identity;86883;2024-01-08T10:50:39;33029;2024-01-08T23:41:04
6;Shores data-warehouse;73499;2024-01-08T20:05:28;22366;2024-01-08T20:13:39
7;Beauty Avon Buckinghamshire;51306;2024-01-08T21:26:10;76248;2024-01-08T16:06:27
8;Handcrafted multi-byte Account;70518;2024-01-08T07:39:02;32182;2024-01-08T11:07:22
9;unleash of Czech;98306;2024-01-08T17:30:32;84626;2024-01-08T15:28:59
10;Islands;88939;2024-01-08T04:42:05;66962;2024-01-08T12:56:18
