id;sect_name;sect_headid;sect_acting_headid;sect_sains_subsidiary;sect_hrpay_id;sect_pap_id;sect_pap_code;sect_pap_company;sect_pap_active;sect_cc_code;entered_by;entered_date;modified_by;modified_date
1;Communications Bedfordshire matrix;12478;23076;S;Pierre Lead user;Strategist;interactive;Texas;A;Realigned system;62265;2024-01-17T04:53:41;33969;2024-01-17T00:29:14
2;Avon Panama;92088;35633;D;olive toolset strategic;Wisconsin Tools;auxiliary;Frozen Afghani;I;analyzing Tennessee Sausages;27615;2024-01-17T04:18:47;67117;2024-01-16T07:18:04
3;Mauritania up;39884;11920;S;payment Louisiana;analyzer Fuerte Motorway;Guinea Executive Facilitator;Regional Pizza;A;array GB;10115;2024-01-16T08:00:35;94234;2024-01-17T02:16:50
4;Metrics Applications;18099;45959;S;Metal;Garden JBOD;Tala;Dollar deposit;I;Vision-oriented;62995;2024-01-16T09:27:30;19711;2024-01-16T13:23:16
5;upward-trending Officer;66531;78186;S;transmit;Car;generating efficient RAM;Specialist;I;24/7;6029;2024-01-17T04:35:17;43692;2024-01-17T06:00:28
6;demand-driven Practical;18651;20105;D;contextually-based;convergence black SMS;Representative Global Hawaii;convergence;A;synthesizing Intelligent;757;2024-01-17T05:14:17;32687;2024-01-16T22:44:11
7;Tactics Samoa;67739;23769;S;efficient Avon Handcrafted;mint morph;Baby Bike;Directives Planner;A;Hills system;89637;2024-01-17T04:19:13;22850;2024-01-16T20:05:52
8;compressing Plastic Planner;63805;45545;S;Pants synergize cutting-edge;Cloned Arizona Factors;Garden Granite Account;Cotton Angola Future;A;Games Shirt;49858;2024-01-17T03:31:48;91738;2024-01-16T20:55:17
9;exuding Direct Technician;12456;60047;S;Viaduct;black Towels;installation;disintermediate;A;SQL Salad;83719;2024-01-16T15:37:53;30526;2024-01-16T17:35:57
10;Configurable;72017;70844;S;algorithm;Horizontal Wooden Strategist;Fresh Berkshire;Stravenue;A;eyeballs;54315;2024-01-16T07:11:40;9683;2024-01-17T05:50:20
