id;sector_name;sector_description;entered_by;entered_date;modify_by;modified_date
1;backing;Puerto;62447;2024-01-08T18:05:04;60541;2024-01-08T20:34:57
2;Rubber Kansas;Incredible copying;81769;2024-01-09T02:56:38;12384;2024-01-08T16:35:07
3;up;Grove copy;63146;2024-01-08T08:57:47;55653;2024-01-08T18:14:14
4;ability Fresh Communications;indigo asymmetric;37483;2024-01-09T01:02:26;4183;2024-01-08T10:59:36
5;Games Wooden Practical;explicit;37915;2024-01-08T23:58:24;37370;2024-01-08T08:40:00
6;Salad repurpose distributed;driver multi-byte;94262;2024-01-08T22:32:10;41228;2024-01-08T21:12:48
7;Outdoors Handcrafted;systems;8762;2024-01-08T17:20:54;16254;2024-01-08T09:03:43
8;deliver District;Toys;11321;2024-01-08T23:29:54;65626;2024-01-08T06:33:59
9;invoice array mission-critical;Cambridgeshire Alabama;34599;2024-01-08T07:26:52;60808;2024-01-08T07:58:40
10;e-tailers Shoes;Awesome Wyoming;38865;2024-01-09T01:29:57;62218;2024-01-09T03:23:04
