id;state_name;state_code;entered_by;entered_date;modify_by;modified_date
1;Small;Baby;84990;2024-01-08T19:34:50;40988;2024-01-08T07:53:21
2;Personal bluetooth Integration;African mobile composite;75893;2024-01-08T14:29:44;5934;2024-01-08T05:39:04
3;withdrawal;Assurance orchestrate e-business;12438;2024-01-08T22:14:28;35059;2024-01-08T12:20:31
4;Intuitive Platinum;Pass;81602;2024-01-08T15:57:28;72297;2024-01-08T06:54:13
5;compressing Configuration;Bedfordshire;68610;2024-01-08T16:57:00;19393;2024-01-08T18:36:32
6;Games of Rustic;experiences Future hack;59155;2024-01-08T05:28:38;75145;2024-01-08T10:36:53
7;Frozen;open-source Checking;5482;2024-01-08T22:07:11;94463;2024-01-08T10:31:26
8;hardware;Forward Applications Upgradable;58921;2024-01-08T09:33:12;96761;2024-01-08T13:29:01
9;Research Planner interactive;bypass bandwidth;31850;2024-01-08T21:08:30;83019;2024-01-08T10:02:18
10;Music Virginia;Technician Keyboard Senior;83941;2024-01-08T13:18:26;14410;2024-01-08T12:23:06
