id;subunt_subunit;subunt_headid;subunt_acting_headid;subunt_hrpay_id;subunt_pap_id;subunt_pap_code;subunt_pap_active;subuny_unitid
1;Handmade Plastic Square;59983;24634;Awesome e-tailers Kwacha;Lilangeni ;firewall;A;Loan Loan 
2;Specialist Turkmenistan;58450;62716;enable cross-platform Central;Virgin;Sausages p;S;Personal b
3;auxiliary;79082;15393;Rubber;calculate;invoice;c;discrete
4;protocol;82634;48233;Manager monitor;SMTP;coherent I;G;Program hi
5;Operations sky;12905;94859;Mauritius;intermedia;SSL Music ;c;Tools
6;Multi-channelled;51858;65762;West HDD;algorithm ;infrastruc;n;integrate
7;purple deliver digital;99742;61160;Reactive XML (E.M.U.-6);generating;Mouse;A;Designer C
8;Designer;87365;45965;maximize (Vatican;Investor B;embrace;F;primary Su
9;experiences Carolina;14453;50104;back;THX conglo;deliverabl;V;wireless
10;Serbia calculate;46468;3948;standardization;Berkshire ;networks G;T;Legacy
