id;spc_category;entered_by;entered_date;modified_by;modified_date
1;Sharable Shirt indexing;95746;2024-01-09T02:21:38;35055;2024-01-08T10:53:05
2;parsing navigating;32372;2024-01-08T15:35:31;57989;2024-01-08T18:17:54
3;bypassing;3077;2024-01-09T05:29:52;28255;2024-01-08T22:22:11
4;Avon;54892;2024-01-09T06:18:07;73310;2024-01-09T00:40:40
5;adapter;69317;2024-01-08T14:22:54;59671;2024-01-09T03:11:38
6;Guernsey;20087;2024-01-08T09:27:37;69108;2024-01-08T19:13:03
7;Forges;12190;2024-01-08T11:01:53;3001;2024-01-08T19:51:52
8;Ghana real-time;7385;2024-01-08T11:47:55;86638;2024-01-08T19:45:23
9;connect synergies;70357;2024-01-08T17:19:14;26535;2024-01-08T14:14:59
10;ADP Baby emulation;58300;2024-01-09T00:41:16;41427;2024-01-09T03:32:54
