id;sysuser_id;usr_roleid;entered_by;entered_date;modified_by;modified_date
1;37483;59239;36576;2024-01-29T16:47:20;2494;2024-01-29T12:04:05
2;82608;35272;73122;2024-01-30T06:31:48;64843;2024-01-29T14:27:15
3;9420;35547;91409;2024-01-29T09:21:36;23198;2024-01-30T00:05:36
4;13683;99972;32041;2024-01-29T19:00:45;11652;2024-01-29T16:58:33
5;12752;45942;48071;2024-01-29T13:54:07;86816;2024-01-30T06:12:49
6;38598;2567;47106;2024-01-30T04:41:55;5326;2024-01-29T21:41:44
7;819;99055;73196;2024-01-30T03:16:08;19970;2024-01-29T19:00:30
8;12073;37116;18277;2024-01-29T11:54:54;659;2024-01-30T03:46:14
9;33758;96461;83559;2024-01-29T12:06:32;13430;2024-01-30T06:52:31
10;5795;11437;26720;2024-01-30T03:59:59;79550;2024-01-29T18:56:43
