id;role_name;role_head;act_approver_1;act_approver_2;entered_by;entered_date;modified_by;modified_date
1;synergy;whiteboard transition;61481;71951;2700;2024-01-17T06:29:33;72492;2024-01-17T04:40:35
2;Sausages;Applications Nevada Direct;6275;14497;48988;2024-01-17T04:41:56;61842;2024-01-16T13:19:21
3;Accounts Metal compressing;Plains Synchronised Agent;67477;2084;10459;2024-01-16T19:24:28;30469;2024-01-16T21:58:05
4;Buckinghamshire withdrawal blue;Guarani JSON Serbia;43217;83929;45022;2024-01-17T05:00:01;85716;2024-01-16T23:28:38
5;integrated generate Berkshire;product invoice;19347;28049;81456;2024-01-16T12:54:50;97465;2024-01-16T19:01:30
6;Ports Gorgeous;SMS;60343;51094;84126;2024-01-17T03:07:46;95728;2024-01-17T03:11:14
7;Shoes Convertible;experiences;83305;19118;23790;2024-01-16T19:43:04;72063;2024-01-17T00:18:14
8;Zimbabwe client-server override;archive Fully-configurable;12636;48;2315;2024-01-16T12:28:03;24137;2024-01-16T12:17:09
9;analyzing Corporate repurpose;cyan auxiliary Customizable;11364;9788;42376;2024-01-16T19:01:52;83825;2024-01-17T06:38:00
10;California;even-keeled compelling networks;24437;66016;6901;2024-01-17T01:23:52;89580;2024-01-16T08:26:46
